,carnes,pescados.mariscos,frutas,legumbres,café.té.cacao,bebidas_alcohólicas,restauración,tabaco,ropa.artículos_calzado,vivienda.agua.gas.electricidad,mobiliario.equipamiento_doméstico,salud,transportes,comunicaciones,ocio.cultura,enseñanza
Menos de 25 años,405,64,84,177,39,188,1185,518,1618,5855,1239,415,3474,1042,1715,354
De 25 a 34 años,734,153,156,297,78,233,1663,463,2690,5693,2000,805,4750,1214,2452,76
De 35 a 44 años,1079,231,223,410,110,322,1867,502,2950,4681,2309,987,5551,1134,2872,272
De 45 a 54 años,1199,291,279,430,118,487,1761,436,2668,4526,2243,1054,5505,1257,2985,456
De 55 a 64 años,1167,325,305,443,109,481,1102,249,2080,3982,2187,1155,4818,961,2775,112
De 65 a 74 años,1061,286,315,410,90,450,608,85,1234,3630,1697,981,2845,650,2131,11
75 años y más,912,251,294,336,88,301,531,57,716,3493,1418,1015,1292,513,1311,6
